My Hero Academia 3,opening,"ODD FUTURE" by UVERworld
My Hero Academia 3,ending,"Update (アップデート)" by miwa
Steins;Gate 0,opening,"Fatima (ファティマ)" by Kanako Itou
Steins;Gate 0,ending,"LAST GAME" by Zwei
Tokyo Ghoul:re,opening,"asphyxia" by Cö shu Nie
Tokyo Ghoul:re,ending,"HALF" by Ziyoou-vachi
Sword Art Online Alternative: Gun Gale Online,opening,"Ryuusei (流星)" by Eir Aoi
Sword Art Online Alternative: Gun Gale Online,ending,"To see the future" by Karen Kohiruimaki (Tomori Kusunoki)
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,opening,"Symbol (シンボル)" by Luck Life
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,ending,"Atria (アトリア)" by Fo'xTails
High School DxD Hero,opening,"SWITCH" by Minami
High School DxD Hero,ending,"Motenai Kuse ni (モテないくせに(`;ω;´))" by Tapimiru
Wotaku ni Koi wa Muzukashii,opening,"Fiction (フィクション)" by Sumika
Wotaku ni Koi wa Muzukashii,ending,"Kimi no Tonari (キミの隣)" by halca
Persona 5 the Animation,opening,"BREAK IN TO BREAK OUT" by Lyn
Persona 5 the Animation,ending,"INFINITY" by Lyn
Megalo Box,opening,"Bite" by LEO Imai
Megalo Box,ending,"Kakatte Koi yo (かかってこいよ)" by NakamuraEmi
Tada Never Falls in Love,opening,"Otomodachi Film (オトモダチフィルム)" by Masayoshi Ooishi
Tada Never Falls in Love,ending,"Love Song (ラブソング)" by Teresa Wagner (CV: Manaka Iwami)
3D Kanojo: Real Girl,opening,"Daiji na Koto (だいじなこと)" by Quruli
3D Kanojo: Real Girl,ending,"HiDE the BLUE" by BiSH
Hinamatsuri,opening,"Distance" Rie Murakawa
Hinamatsuri,ending,"Sake to Ikura to 893 to Musume (鮭とイクラと893と娘)" by Yoshifumi Nitta (Yoshiki Nakajima)
Devils Line,opening,"Eclipse" by Shouta Aoi
Devils Line,ending,"Sotto Tokete Yuku You ni (そっと溶けてゆくように)" by Mamoru Miyano
Mahou Shoujo Site,opening,"Changing point" by i☆Ris
Mahou Shoujo Site,ending,#1: "Zenzen Tomodachi" by Haruka Yamazaki
Mahou Shoujo Site,ending,#2: "...Watashi dake Mitete♡ (...私だけ見てて♡)" by Nijimi Anazawa (Yuu Serizawa) (ep 3)
Golden Kamuy,opening,"Winding Road" by MAN WITH A MISSION
Golden Kamuy,ending,"Hibana" by THE SIXTH LIE
Mahou Shoujo Ore,opening,"NOISY LOVE POWER☆" by Ayaka Ohashi
Mahou Shoujo Ore,ending,"Karasu no Ginga (硝子の銀河)" by STAR☆PRINCE [Mohiro Mikage (Toshiyuki Toyonaga), Hyoue (Kouji Yusa)] w. Chorus: Megumi Ogata and U-ya Asaoka (ex FIELD OF VIEW Vocalist)
Caligula,opening,"Paradigm Box" by Ritsu Shikishima (Chiharu Sawashiro), Shougo Satake (Shunsuke Takeuchi)
Caligula,ending,"HYPNO" by Kotono Kashiwaba (Rie Murakawa), Naruko Morita (Ari Ozawa), Mifue Shinohara (Rie Takahashi), Suzuna Kagura (Minami Tanaka)
Full Metal Panic! Invisible Victory,opening,"Even...if" by Tamaru Yamada
Full Metal Panic! Invisible Victory,ending,#1: "yes" by Tamaru Yamada
Full Metal Panic! Invisible Victory,ending,#2: "Remained dream" by Minori Chihara
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,opening,"Binary Star" by SawanoHiroyuki[nZk]:Uru
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,ending,"WISH" by ELISA
Dances with the Dragons,opening,"divine criminal" by fripSide
Dances with the Dragons,ending,"decadence (decadence -デカダンス-)" by Maon Kurosaki
Kakuriyo no Yadomeshi,opening,"Tomoshibi no Manimani (灯火のまにまに)" by Nao Touyama
Kakuriyo no Yadomeshi,ending,#1: "Color (彩 -color-)" by Manami Numakura
Kakuriyo no Yadomeshi,ending,#2: "Negai Bana (願い花)" by Oodanna (Katsuyuki Konishi) (ep 3)
Kakuriyo no Yadomeshi,ending,#3: "Toki no Suna (時の砂)" by Akatsuki (Yuuma Uchida) & Suzuran (Maaya Uchida) (ep 5)
Uma Musume: Pretty Derby (TV),opening,"Make Debut!" by Special Week (Azumi Waki), Silence Suzuka (Marika Kouno), Toukai Teio (Machico), Vodka (Ayaka Ohashi), Daiwa Scarlet (Chise Kimura), Sold Ship (Hitomi Ueda), Mejiro McQueen (Saori Oonishi)
Uma Musume: Pretty Derby (TV),ending,"Glow Up Shine! (グロウアップ・シャイン！)" by Special Week (Azumi Waki), Silence Suzuka (Marika Kouno), Toukai Teio (Machico), Vodka (Ayaka Ohashi), Daiwa Scarlet (Chise Kimura), Sold Ship (Hitomi Ueda), Mejiro McQueen (Saori Oonishi)
Piano no Mori (TV),opening,"Umi e (海へ)" by Kai Ichinose (Piano)
Piano no Mori (TV),ending,"Kaeru Basho ga Aru to Iu Koto (帰る場所があるということ)" by Aoi Yuuki
Captain Tsubasa (2018),opening,"Start Dash! (スタートダッシュ！)" by Johnny's West
Captain Tsubasa (2018),ending,"Moete Hero (燃えてヒーロー)" by Tsubasa Oozora (Yuuko Sanpei)
FLCL Alternative,ending,"Star overhead" by the pillows
Dorei-ku The Animation,opening,"Kara Kara na Kokoro (カラカラな心)" by Shougo Sakamoto
Dorei-ku The Animation,ending,"BJ" by Pile
Shiyan Pin Jiating,opening,"Early Day" by Rin Akatsuki
Shiyan Pin Jiating,ending,"Haru ni Ochite (春に落ちて)" by Kano
Dragon Pilot: Hisone and Masotan,opening,"Soujo wa Ano Sora wo Wataru (少女はあの空を渡る)" by Riko Fukumoto (福本莉子)
Dragon Pilot: Hisone and Masotan,ending,"Le temps de la rentrée〜恋の家路（新学期）〜 (Le temps de la rentrée~Koi no Shingakki~)" by D Pai
Dragon Pilot: Hisone and Masotan,ending,[Hisone Amakazu (Misaki Kuno), Nao Kaizaki (Tomoyo Kurosawa), Eru Hoshino (Maki Kawase), Ririko Kinutsugai (Satomi Arai), Mayumi Hitomi (Kaori Nazuka)]
Alice or Alice: Siscon Niisan to Futago no Imouto,opening,"A or A!?" by petit milady
Alice or Alice: Siscon Niisan to Futago no Imouto,ending,"LONELY ALICE" by Pyxis
GeGeGe no Kitaro,opening,"Gegege no Kitarou (ゲゲゲの鬼太郎)" by Kiyoshi Hikawa
GeGeGe no Kitaro,ending,"Kagami no Naka kara (鏡の中から)" by Maneki Kecak (まねきケチャ)
Amanchu! Advance,opening,"Crosswalk" by Minori Suzuki
Amanchu! Advance,ending,"Hello, Hello (ハロー、ハロー)" by Maaya Sakamoto
The Scales of Nil Admirari ~The Mysterious Story of Teito~,opening,"Tandeki Mirage-ism (耽溺ミラアジュイズム)" by kradness
The Scales of Nil Admirari ~The Mysterious Story of Teito~,ending,"Black Thunder" by Hiro Shimono
Juushinki Pandora,opening,"Sirius (シリウス)" by BUMP OF CHICKEN
Juushinki Pandora,ending,"Spica" by BUMP OF CHICKEN
Lostorage Conflated WIXOSS,opening,"UNLOCK" by Yuka Iguchi
Lostorage Conflated WIXOSS,ending,"I" by Cyua
Crossing Time,opening,"Tomare no Susume (トマレのススメ)" by Yuri Komagata
Butlers: Chitose Momotose Monogatari,opening,"Growth Arrow" by OLDCODEX
Butlers: Chitose Momotose Monogatari,ending,"Hidamari no Niwa ~Eternal Garden~ (陽だまりの庭 ～Eternal Garden～)" by Tenna Kisaragi (Sachika Misawa)
Last Period: Owarinaki Rasen no Monogatari,opening,"Yokubari Dreamer (欲張り Dreamer)" by Haru (Natsuki Hanae) x Choco (Yukari Tamura)
Last Period: Owarinaki Rasen no Monogatari,ending,"Wiseman no Theme (ワイズマンのテーマ)" by Wiseman [Sayaka Harada & Akari Kito & Ayumi Mano]
Uchuu Senkan Tiramisù,opening,"Breakthrough" by Subaru Ichinose (Kaito Ishikawa)
Uchuu Senkan Tiramisù,ending,"DURANDAL" by Subaru Ichinose (Kaito Ishikawa)
Cutie Honey Universe,opening,"Ai ga Nakucha Tatakaenai (愛がなくちゃ戦えない)" by AOP
Cutie Honey Universe,ending,"SISTER" by luz
Lupin III: Part 5,opening,"LUPIN TROIS 2018" by Yuji Ohno & Lupintic Six
Lupin III: Part 5,ending,"Seine no Kaze ni... (Adieu) (セーヌの風に…（Adieu）)" by Miyuki Sawashiro
Inazuma Eleven: Ares no Tenbin,opening,"Teppen e Dash! (てっぺんへダッシュ！)" by pugcat's
Inazuma Eleven: Ares no Tenbin,ending,"Koi suru Otome wa Amemoyou (恋する乙女は雨模様)" by alom
Hoozuki no Reitetsu 2nd Season: Sono Ni,opening,"Haikei, Jigoku yori (拝啓、地獄より)" by Jigoku no Sata All Stars (Hiroki Yasumoto, Takashi Nagasako, Yumiko Kobayashi, Hiroki Gotou, Takashi Matsuyama, Satomi Sato, Yui Ogura, Atsumi Tanezaki x YOUR SONG IS GOOD)
Hoozuki no Reitetsu 2nd Season: Sono Ni,ending,"Jigoku de Hot Cake (地獄でホットケーキ)" by Sumire Uesaka
Rokuhoudou Yotsuiro Biyori,opening,"Sakurairo Cliche (桜色クリシェ)" by aki
Major 2nd (TV),opening,"Koeteike (越えていけ)" by Kyuso Nekokami (キュウソネコカミ)
Major 2nd (TV),ending,"Pride (プライド)"  by Yu Takahashi
Gundam Build Divers,opening,"Diver's High" by SKY-HI
Gundam Build Divers,ending,"Asu e (明日へ)" by Iris
Amai Choubatsu: Watashi wa Kanshu Senyou Pet,ending,"Sweet Punishment" by rosukey
Omae wa Mada Gunma wo Shiranai,ending,"So Happy" by Aya Uchida
Layton Mystery Tanteisha: Katri no Nazotoki File,opening,"Change! (チェンジっ！)" by Kana Adachi (足立佳奈)
Layton Mystery Tanteisha: Katri no Nazotoki File,ending,"Daijoubu (大丈夫)" by Kana Hanazawa
Souten no Ken Re:Genesis,opening,"Souten no Hate ni (蒼天の果てに)" by AK-69
Souten no Ken Re:Genesis,ending,"Inori no Hoshizora (祈りの星空)" by Sumire Uesaka
Gurazeni,opening,"Merigo" by Cypress Ueno to Robert Yoshino ft. Sky-Hi
Gurazeni,ending,"Shadow Monster" Toki Asako
Lost Song,opening,"Utaeba Soko ni Kimi ga Iru kara (歌えばそこに君がいるから)" by Konomi Suzuki
Lost Song,ending,"TEARS ECHO" by Finis (Yukari Tamura)
Binan Koukou Chikyuu Boueibu Happy Kiss!,opening,"Zettai Saikou ☆Happy Kiss☆ (絶対最幸☆HAPPY KISS☆)" by Chikyuu Bouei-bu HK
Binan Koukou Chikyuu Boueibu Happy Kiss!,ending,"Warera Kitakaki Etherstein!! (我ら気高きエーデルシュタイン!!)" by Chikyuu Seifuku-bu ES
Ninja Girl & Samurai Master: Anegawa and Ishiyama Arc,opening,"Kingyorui. (金魚涙。)" by Renka
Aikatsu Friends!,opening,"Arigato⇄Daijoubu (ありがと⇄大丈夫)" by Aine Yuuki (Akane Matsunaga), Mio Minato (Ibuki Kido) from BEST FRIENDS (eps 1-)
Aikatsu Friends!,ending,"Believe it" by Karen Kamishiro (Azusa Tadokoro), Mirai Asuka (Ayaka Ohashi) from BEST FRIENDS (eps 1-)
Ladyspo,ending,"Happy Thinking" by Aina Kusuda
Kiratto Pri☆chan,opening,"Kiratto Start (キラッとスタート)" by Run Girls, Run!
Kiratto Pri☆chan,ending,"Pretty☆Channel (プリティー☆チャンネル)" by Wa-suta iDOL Street (わーすた iDOL Street)
Shounen Ashibe: Go! Go! Goma-chan 3,opening,"LET'S GO JUMP☆" by Yuka Ozaki
One Piece,opening,#01: "We Are! (ウィーアー!)" by Hiroshi Kitadani (eps 1-47)
One Piece,opening,#02: "Believe" by Folder5 (eps 48-115)
One Piece,opening,#03: "Hikari E (ヒカリヘ)" by The Babystars (eps 116-168)
One Piece,opening,#04: "Bon Voyage!" by Bon-Bon Blanco (eps 169-206)
One Piece,opening,#05: "Kokoro no Chizu (ココロのちず)" by BOYSTYLE (eps 207-263)
One Piece,opening,#06: "Brand New World" by D-51 (eps 264-278)
One Piece,opening,#07: "We Are! (ウィーアー! 〜7人の麦わら海賊団篇〜)" by the Straw Hat Pirates (eps 279-283)
One Piece,opening,#08: "Crazy Rainbow" by Tackey & Tsubasa (eps 284-325)
One Piece,opening,#09: "Jungle P" by 5050 (eps 326-372)
One Piece,opening,#10: "We Are (ウィーアー! 〜10周年Ver.〜)" by TVXQ (eps 373-394)
One Piece,opening,#11: "Share the World" by TVXQ (eps 395-425)
One Piece,opening,#12: "Kaze wo Sagashite (風をさがして)" by Straw Hat Crew and Mari Yaguchi (eps 426-458)
One Piece,opening,#13: "One Day" by The Rootless (eps 459-491)
One Piece,opening,#14: "Fight Together" by Namie Amuro (eps 493-516)
One Piece,opening,#15: "We go! (ウィーゴー!)" by Hiroshi Kitadani (eps 517-541, 543-589)
One Piece,opening,#16: "Hands Up!" by Kouta Shinzato (eps 591-628)
One Piece,opening,#17: "Wake up!" by AAA (eps 629-686)
One Piece,opening,#18: "Hard Knock Days" by GENERATIONS from EXILE TRIBE (eps 687-746)
One Piece,opening,#19: "We can! (ウィーキャン!)" by Kishidan and Hiroshi Kitadani (eps 747-806)
One Piece,opening,#20 "Hope" by Namie Amuro (eps 807-)
One Piece,ending,#01: "memories" by Maki Otsuki (eps 1-30)
One Piece,ending,#02: "RUN! RUN! RUN!" by Maki Otsuki (eps 31-63)
One Piece,ending,#03: "Watashi ga iru Yo (私がいるよ)" by TOMATO CUBE (eps 64-73)
One Piece,ending,#04: "Souchinosuke (しょうちのすけ)" by Suitei-Shoujo (eps 74-81)
One Piece,ending,#05: "BEFORE DAWN" by AI-SACHI (eps 82-94)
One Piece,ending,#06: "fish" by The Kaleidoscope (eps 95-106)
One Piece,ending,#07: "GLORY -Kimi ga iru Kara- (GLORY-君がいるから-)" by Takako Uehara (eps 107-118)
One Piece,ending,#08: "Shining ray" by Janne da Arc (eps 119-127, 129-132)
One Piece,ending,#09: "Family" by the Straw Hat Pirates (ep 128)
One Piece,ending,#10: "Free Will" by Ruppina (eps 133-156)
One Piece,ending,#11: "FAITH" by Ruppina (eps 157-168)
One Piece,ending,#12: "A to Z ~One Piece Edition~ (A to Z〜ONE PIECE Edition〜)" by ZZ (eps 169-181)
One Piece,ending,#13: "Tsuki to Taiyou (月と太陽)" by shela (eps 182-195)
One Piece,ending,#14: "DREAMSHIP" by Aiko Ikuta (eps 196-206)
One Piece,ending,#15: "Mirai Koukai (未来航海)" by Tackey & Tsubasa (eps 207-230)
One Piece,ending,#16: "Eternal Pose (エターナルポーズ)" by Asia Engineer (eps 231-245)
One Piece,ending,#17: "Dear friends" by TRIPLANE (eps 246-255)
One Piece,ending,#18: "Asu wa Kurukara (明日は来るから)" by Dong Bang Shin Gi (eps 256-263)
One Piece,ending,#19: "ADVENTURE WORLD" by Delicatessen (eps 264-278)
One Piece,ending,#20: "One Day" by The Rootless (ep 492)
One Piece,ending,#21: "We go! (ウィーゴー!)" by Hiroshi Kitadani (eps 542, 590)
DARLING in the FRANXX,opening,"KISS OF DEATH" by Mika Nakashima x Hyde
DARLING in the FRANXX,ending,#1: "Torikago (トリカゴ)" by XX:me (Kiss Me; キス・ミー) [Zero Two (Haruka Tomatsu), Ichigo (Kana Ichinose), Miku (Nanami Yamashita), Kokoro (Saori Hayami), Ikuno (Shizuka Ishigami)] (eps 1-6)
DARLING in the FRANXX,ending,#2: "Manatsu no Setsuna (真夏のセツナ)" by XX:me (Kiss Me; キス・ミー) [Zero Two (Haruka Tomatsu), Ichigo (Kana Ichinose), Miku (Nanami Yamashita), Kokoro (Saori Hayami), Ikuno (Shizuka Ishigami)] (ep 7)
DARLING in the FRANXX,ending,#3: "Beautiful World" by XX:me (Kiss Me; キス・ミー) [Zero Two (Haruka Tomatsu), Ichigo (Kana Ichinose), Miku (Nanami Yamashita), Kokoro (Saori Hayami), Ikuno (Shizuka Ishigami)] (eps 8-9, 14)
DARLING in the FRANXX,ending,#4: "Hitori (ひとり)" by XX:me (Kiss Me; キス・ミー) [Zero Two (Haruka Tomatsu)] (ep 13)
Black Clover,opening,#1: "Haruka Mirai (ハルカミライ)" by Kankaku Piero (感覚ピエロ) (eps 1-13)
Black Clover,opening,#2: "PAiNT it BLACK" by BiSH (eps 14-27)
Black Clover,opening,#3: "Black Rover" by Vickeblanka (eps 28-??)
Black Clover,ending,#1: "Aoi Honoo (蒼い炎)" by Itowokashi (eps 1-13)
Black Clover,ending,#2: "Amazing Dreams" by SWANKY DANK (eps 14-27)
Black Clover,ending,#3: "Black to the dreamlight" by EMPiRE (eps 28-??)
Nanatsu no Taizai: Imashime no Fukkatsu,opening,#1: "Howling" by FLOW x GRANRODEO
Nanatsu no Taizai: Imashime no Fukkatsu,opening,#2: "Ame ga Furu kara Niji ga Deru (雨が降るから虹が出る)" by Sky Peace (スカイピース)
Nanatsu no Taizai: Imashime no Fukkatsu,ending,#1: "Beautiful" by Anly
Nanatsu no Taizai: Imashime no Fukkatsu,ending,#2: "Chikai (誓い)" by Sora Amamiya
Case Closed,opening,#01: "Mune ga Dokidoki (胸がドキドキ)" by the High-Lows (eps 1-30)
Case Closed,opening,#02: "Feel Your Heart" by Velvet Garden (eps 31-52)
Case Closed,opening,#03: "Nazo (謎)" by Miho Komatsu (小松未歩) (eps 53-96)
Case Closed,opening,#04: "Unmei no Roulette Mawashite (運命のルーレット廻して)" by ZARD (eps 97-123)
Case Closed,opening,#05: "Truth" by Two-Mix (eps 124-142)
Case Closed,opening,#06: "Girigiri Chop (ギリギリchop)" by B'z (eps 143-167)
Case Closed,opening,#07: "Mysterious Eyes" by Garnet Crow (eps 168-204)
Case Closed,opening,#08: "Koi wa Thrill, Shock, Suspense (恋はスリル、ショック、サスペンス)" by Rina Aiuchi (eps 205-230)
Case Closed,opening,#09: "Destiny" by Miki Matsuhashi (松橋未樹) (eps 231-258)
Case Closed,opening,#10: "Winter Bells" by Mai Kuraki (eps 259-270)
Case Closed,opening,#11: "I can't stop my love for you♥" by Rina Aiuchi (eps 271-305)
Case Closed,opening,#12: "Kaze no Lalala (風のららら)" by Mai Kuraki (eps 306-332)
Case Closed,opening,#13: "Kimi to Yakusoku Shita Yasashii Ano Basho Made (君と約束した優しいあの場所まで)" by Yuuka Saegusa in db (eps 333-355)
Case Closed,opening,#14: "Start" by Rina Aiuchi (eps 356-393)
Case Closed,opening,#15: "Hoshi no Kagayakiyo (星のかがやきよ)" by ZARD (eps 394-414)
Case Closed,opening,#16: "Growing of My heart" by Mai Kuraki (eps 415-424)
Case Closed,opening,#17: "Shoudou (衝動)" by B'z (eps 425-437)
Case Closed,opening,#18: "100 Mono Tobira (100もの扉)" by Rina Aiuchi & Yuuka Saegusa in db (eps 438-456)
Case Closed,opening,#19: "Kumo ni Notte (雲に乗って)" by Yuuka Saegusa in db (eps 457-474)
Case Closed,opening,#20: "Namida no Yesterday (涙のイエスタデー)" by Garnet Crow (eps 475-486)
Case Closed,opening,#21: "Glorious Mind" by ZARD (eps 487-490)
Case Closed,opening,#22: "Ai wa Kurayami no Naka de (愛は暗闇の中で)" by ZARD (eps 491-504)
Case Closed,opening,#23: "Ichibyou goto ni Love for you ( 一秒ごとに Love for you)" by Mai Kuraki (eps 505-514)
Case Closed,opening,#24: "MYSTERIOUS" by Naifu (eps 515-520)
Case Closed,opening,#25: "Revive" by Mai Kuraki (eps 521-529)
Case Closed,opening,#26: "Everlasting Luv" by BREAKERZ (eps 530-546)
Case Closed,opening,#27: "MAGIC" by Rina Aiuchi (eps 547- 564)
Case Closed,opening,#28: "As the Dew" by GARNET CREW (eps 565-582)
Case Closed,opening,#29: "SUMMER TIME GONE" by Mai Kuraki (eps 583-601)
Case Closed,opening,#30: "tear drops" by Caos Caos Caos (eps 602-612)
Case Closed,opening,#31: "Don’t Wanna Lie" by B'z (eps 613-626)
Case Closed,opening,#32: "Misty Mystery" by GARNET CROW (eps 627-641)
Case Closed,opening,#33: "Miss Mystery" by BREAKERZ (eps 642-666)
Case Closed,opening,#34: "Kimi no Namida ni Konna ni Koi Shiteru (君の涙にこんなに恋してる)" by Natsu Iro (eps 667-680)
Case Closed,opening,#35: "TRY AGAIN" by Mai Kuraki (eps 681-695)
Case Closed,opening,#36: "Q&A" by B'z (eps 696-717)
Case Closed,opening,#37: "Butterfly Core" by VALSHE (eps 718-743)
Case Closed,opening,#38: "Greed" by KNOCK OUT MONKEY (eps 744-756)
Case Closed,opening,#39: "DYNAMITE" by Mai Kuraki (eps 757-773)
Case Closed,opening,#40: "WE GO" by BREAKERZ (eps 774-789)
Case Closed,opening,#41: "Nazo (謎)" by La PomPon (eps 790-803)
Case Closed,opening,#42: "Hane (羽)" by Koushi Inaba (eps 804-816)
Case Closed,opening,#43: "Sekai wa Anata no Iro ni Naru (世界はあなたの色になる)" by B'z (eps 817-844)
Case Closed,opening,#44: "Ikusen no Meikyuu de Ikusen no Nazo wo Doite (幾千の迷宮で 幾千の謎を解いて)" by BREAKERZ (eps 845-868)
Case Closed,opening,#45: "Lie, Lie, Lie," by Maki Ohguro (eps 867-886)
Case Closed,opening,#46: "Everything OK!!" by Cellchrome (eps 887-???)
Case Closed,ending,#01: "Step by Step" by Ziggy (eps 1-26)
Case Closed,ending,#02: "Meikyuu no Lovers (迷宮のラヴァーズ)" by heath (eps 27-51)
Case Closed,ending,#03: "Hikari to Kage no Roman (光と影のロマン)" by Keiko Utoko (宇徳敬子) (eps 52-70)
Case Closed,ending,#04: "Kimi ga Inai Natsu (君がいない夏)" by DEEN (eps 71-83)
Case Closed,ending,#05: "Negai goto Hitotsu Dake (願い事ひとつだけ)" by Miho Komatsu (eps 84-108)
Case Closed,ending,#06: "Koori no Ue ni Tatsu You ni (氷の上に立つように)" by Miho Komatsu (eps 109-131)
Case Closed,ending,#07: "Still for Your Love" by Rumania Montevideo (eps 132-152)
Case Closed,ending,#08: "Free Magic" by WAG (eps 153-179)
Case Closed,ending,#09: "Secret of my heart" by Mai Kuraki (eps 180-204)
Case Closed,ending,#10: "Natsu no Maboroshi (夏の幻)" by Garnet Crow (eps 205-218)
Case Closed,ending,#11: "Start in my life" by Mai Kuraki (eps 219-232)
Case Closed,ending,#12: "always" by Mai Kuraki (eps 233-247)
Case Closed,ending,#13: "Aoi Aoi Kono Chikyuu ni (青い青いこの地球に)" by Azumi Uehara (上原あずみ) (eps 248-265)
Case Closed,ending,#14: "Yumemita Ato de (夢みたあとで)" by Garnet Crow (eps 266-287)
Case Closed,ending,#15: "Mushoku (無色)" by Azumi Uehara (eps 288-299)
Case Closed,ending,#16: "Overture" by Koshi Inaba (稲葉浩志) (eps 300-306)
Case Closed,ending,#17: "Ashita wo Yumemite (明日を夢見て)" by ZARD (eps 307-328)
Case Closed,ending,#18: "Kimi to iu Hikari (君という光)" by Garnet Crow (eps 329-349)
Case Closed,ending,#19: "Nemuru Kimi no Yokogao ni Hohoemi wo (眠る君の横顔に微笑みを)" by U-ka saegusa IN db (eps 350-376)
